;genome;number_of_records;unknown;staphyloferrin A;staphyloferrin B;staphylopine
GCF_029926865.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001658765.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001073815.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_009730115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_020740045.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681825.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001650655.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689675.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690245.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007004605.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001051915.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_024106335.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689975.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006675.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681635.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002799525.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042375.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_018408065.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021188735.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690295.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681485.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672085.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_000269685.1;Staphylococcus hominis subsp. hominis ZBW5;1;0;75.0;0;0
GCF_020740025.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001808085.1;Staphylococcus sp. HMSC14C01;1;0;75.0;0;0
GCF_007672165.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001071725.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001072965.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001070895.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900458745.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690325.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681755.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014267295.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014266385.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002954105.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_004329075.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_017742685.2;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689655.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681695.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900240155.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021366525.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007671825.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689095.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006735.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007004245.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022695935.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_015274655.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007004385.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_023277465.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_001051905.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689215.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_025143205.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689665.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001072955.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689165.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042345.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690045.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681585.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_030014025.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_015274535.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_023148975.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681385.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_002276845.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_025143445.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014264995.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690265.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030503485.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002860985.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690065.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_009730135.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_004365845.1;Staphylococcus sp. AtDRG32;1;0;75.0;0;0
GCF_002026385.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689615.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690275.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001077055.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_014645875.1;Plantactinospora veratri;1;0;75.0;0;0
GCF_029926915.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001886335.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014266705.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001809845.1;Staphylococcus sp. HMSC062C01;1;0;75.0;0;0
GCF_024586465.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690165.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007671855.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022693345.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_001051895.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030225055.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689785.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_018373535.1;Staphylococcus sp.;1;0;75.0;0;0
GCF_016428605.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689855.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689675.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007676505.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021497065.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_013364435.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001809205.1;Staphylococcus sp. HMSC069E10;1;0;75.0;0;0
GCF_007681475.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006945.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007004175.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672245.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021366975.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_013343025.1;Staphylococcus hominis;0;0;0;0;0
GCF_001812765.1;Staphylococcus sp. HMSC075H09;1;0;75.0;0;0
GCF_001809865.1;Staphylococcus sp. HMSC059G05;1;0;75.0;0;0
GCF_007672435.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030503475.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_015274675.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900109865.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672065.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_000247085.1;Staphylococcus hominis VCU122;1;0;75.0;0;0
GCF_030503545.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_025558605.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030218155.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002156675.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_001836125.1;Staphylococcus sp. HMSC035F02;1;0;75.0;0;0
GCF_007676475.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001074645.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003043055.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021366695.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265015.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007678465.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002902465.1;Staphylococcus hominis subsp. novobiosepticus;1;0;75.0;0;0
GCF_902386755.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006865.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030540895.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042465.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001836075.1;Staphylococcus sp. HMSC035D11;1;0;75.0;0;0
GCF_022690025.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_000183685.1;Staphylococcus hominis subsp. hominis C80;1;0;75.0;0;0
GCF_001743355.1;Staphylococcus hominis;2;0;75.0;0;0
GCF_022690375.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001070775.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_003687075.1;Staphylococcus hominis;2;0;75.0;0;0
GCF_022690225.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690185.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030503505.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689565.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002901845.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_003580605.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001068725.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001876445.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689925.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_023712685.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001073975.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001809605.1;Staphylococcus sp. HMSC078D05;1;0;75.0;0;0
GCA_004329095.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001876465.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001809445.1;Staphylococcus sp. HMSC058D09;1;0;75.0;0;0
GCF_014204615.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_009663945.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003716315.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001073185.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001068715.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014266935.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001813735.1;Staphylococcus sp. HMSC068C09;1;0;75.0;0;0
GCF_022689745.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_013267575.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001811375.1;Staphylococcus sp. HMSC057A02;1;0;75.0;0;0
GCF_007681955.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030715945.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265215.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_009897275.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689775.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014264985.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689645.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689395.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900458635.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672005.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042335.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_016623665.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689725.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_017315645.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690145.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689885.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681935.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022695885.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_007676535.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689945.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681775.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672535.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001071235.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690005.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014266895.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042305.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021188875.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265735.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_030217525.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900240185.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900033555.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265085.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006665.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690105.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689575.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001297105.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_019149255.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001812925.1;Staphylococcus sp. HMSC057A08;1;0;75.0;0;0
GCF_022689705.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003579515.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001813345.1;Staphylococcus sp. HMSC078E07;1;0;75.0;0;0
GCF_022690085.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_012843365.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_025143615.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001807795.1;Staphylococcus sp. HMSC10B09;1;0;75.0;0;0
GCF_001809305.1;Staphylococcus sp. HMSC072H03;1;0;75.0;0;0
