accession_code,assembly_level
GCF_000174135.1,Contig
GCF_000183705.1,Scaffold
GCF_000221525.1,Contig
GCF_000263775.1,Contig
GCF_000499705.1,Scaffold
GCF_000692055.1,Scaffold
GCF_000712995.1,Contig
GCF_001028645.1,Complete Genome
GCF_001060815.1,Scaffold
GCF_001062085.1,Contig
GCF_001063695.1,Contig
GCF_001064095.1,Scaffold
GCF_001065245.1,Scaffold
GCF_001065645.1,Scaffold
GCF_001066795.1,Scaffold
GCF_001069155.1,Scaffold
GCF_001069195.1,Contig
GCF_001069765.1,Scaffold
GCF_001070105.1,Contig
GCF_001071095.1,Scaffold
GCF_001073365.1,Scaffold
GCF_001073565.1,Scaffold
GCF_001073605.1,Scaffold
GCF_001073715.1,Scaffold
GCF_001073835.1,Scaffold
GCF_001074775.1,Contig
GCF_001179785.1,Contig
GCF_001201015.1,Contig
GCF_001215085.1,Scaffold
GCF_001220005.1,Contig
GCF_001220605.1,Contig
GCF_001471555.2,Contig
GCF_001650395.1,Contig
GCF_001650475.1,Contig
GCF_001651285.1,Contig
GCF_001651335.1,Contig
GCF_001808345.1,Scaffold
GCF_001809655.1,Scaffold
GCF_001813405.1,Scaffold
GCF_001837405.1,Scaffold
GCF_002276515.1,Contig
GCF_002276735.1,Contig
GCF_002356175.1,Complete Genome
GCF_002591175.1,Complete Genome
GCF_002902325.1,Scaffold
GCF_003039875.1,Contig
GCF_003040575.1,Contig
GCF_003040595.1,Contig
GCF_003040635.1,Contig
GCF_003040655.1,Contig
GCF_003041055.1,Contig
GCF_003041075.1,Contig
GCF_003578595.1,Contig
GCF_003578625.1,Contig
GCF_003857115.1,Scaffold
GCF_003857145.1,Scaffold
GCF_004152695.1,Contig
GCF_005502985.1,Contig
GCF_006540355.1,Contig
GCF_006546865.1,Scaffold
GCF_006546885.1,Contig
GCF_006546895.1,Contig
GCF_007667925.1,Scaffold
GCF_007667965.1,Scaffold
GCF_007667995.1,Scaffold
GCF_007672395.1,Scaffold
GCF_007672495.1,Scaffold
GCF_007677445.1,Scaffold
GCF_009663495.1,Scaffold
GCF_012926635.1,Contig
GCF_012926645.1,Contig
GCF_012926665.1,Contig
GCF_012926705.1,Contig
GCF_012926715.1,Contig
GCF_012926725.1,Contig
GCF_012926735.1,Contig
GCF_012926745.1,Contig
GCF_012926805.1,Contig
GCF_012926825.1,Contig
GCF_012926835.1,Contig
GCF_012926845.1,Contig
GCF_012926855.1,Contig
GCF_012926865.1,Contig
GCF_012926925.1,Contig
GCF_012926945.1,Contig
GCF_012926955.1,Contig
GCF_012926965.1,Contig
GCF_012926975.1,Contig
GCF_012927025.1,Contig
GCF_012927055.1,Contig
GCF_013267675.1,Complete Genome
GCF_013415405.1,Contig
GCF_014266065.1,Contig
GCF_014266085.1,Scaffold
GCF_014266465.1,Scaffold
GCF_014266475.1,Contig
GCF_014266725.1,Contig
GCF_014267235.1,Scaffold
GCF_014436645.1,Contig
GCF_014635765.1,Contig
GCF_015070475.1,Contig
GCF_015234665.1,Contig
GCF_015243435.1,Complete Genome
GCF_015273915.1,Contig
GCF_015273955.1,Contig
GCF_015273975.1,Contig
GCF_015273985.1,Contig
GCF_015273995.1,Contig
GCF_015274025.1,Contig
GCF_015274055.1,Contig
GCF_015274095.1,Contig
GCF_015274115.1,Contig
GCF_015274185.1,Contig
GCF_015645195.1,Contig
GCF_015645205.1,Contig
GCF_015645265.1,Contig
GCF_017167155.1,Scaffold
GCF_017167295.1,Contig
GCF_017315425.1,Contig
GCF_017315685.1,Contig
GCF_018407735.1,Contig
GCF_018407745.1,Contig
GCF_018407905.1,Contig
GCF_018917165.1,Contig
GCF_020667295.1,Contig
GCF_020682835.1,Contig
GCF_020739965.1,Contig
GCF_020740065.1,Contig
GCF_020740075.1,Contig
GCF_020740105.1,Contig
GCF_020740145.1,Contig
GCF_020883475.1,Complete Genome
GCF_020907105.1,Contig
GCF_020907165.1,Contig
GCF_020907185.1,Contig
GCF_020907205.1,Contig
GCF_022531845.1,Complete Genome
GCF_022690645.1,Contig
GCF_022762885.1,Scaffold
GCF_022762895.1,Contig
GCF_022762925.1,Contig
GCF_022762945.1,Contig
GCF_022762955.1,Contig
GCF_023148985.1,Contig
GCF_023712505.1,Contig
GCF_023713485.1,Contig
GCF_023713625.1,Contig
GCF_024586885.1,Contig
GCF_025149525.1,Contig
GCF_025272695.1,Complete Genome
GCF_025272815.1,Complete Genome
GCF_025370135.1,Scaffold
GCF_026430575.1,Complete Genome
GCF_027664685.1,Scaffold
GCF_029917325.1,Contig
GCF_029917375.1,Contig
GCF_029918385.1,Contig
GCF_029918685.1,Contig
GCF_029918985.1,Contig
GCF_029924965.1,Contig
GCF_029924985.1,Contig
GCF_029925065.1,Contig
GCF_029925075.1,Contig
GCF_029925625.1,Contig
GCF_029926435.1,Contig
GCF_029926445.1,Contig
GCF_029926485.1,Contig
GCF_029926805.1,Contig
GCF_029927345.1,Contig
GCF_029927385.1,Contig
GCF_029927405.1,Contig
GCF_029927425.1,Contig
GCF_029928775.1,Contig
GCF_029928945.1,Contig
GCF_029928965.1,Contig
GCF_029928985.1,Contig
GCF_030230485.1,Contig
GCF_900068995.1,Contig
GCF_901482635.1,Contig
GCF_902485505.1,Contig
