;genome;number_of_records;unknown;staphyloferrin A;staphyloferrin B;staphylopine
GCF_014436645.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_009663495.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_023713485.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_025272695.1;Staphylococcus capitis subsp. capitis;2;0;100.0;0;100.0
GCF_014267235.1;Staphylococcus capitis;1;0;100.0;0;0.0
GCF_015645195.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_012926975.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_003039895.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_003578595.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_002276515.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_023712485.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_000712995.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_007667965.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_902485505.1;uncultured Staphylococcus sp.;2;0;100.0;0;100.0
GCF_015645205.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_029924985.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_029927385.1;Staphylococcus capitis;1;0;100.0;0;0.0
GCF_006540355.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_003857115.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_025272815.1;Staphylococcus capitis subsp. capitis;2;0;100.0;0;100.0
GCF_029926805.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_015274095.1;Staphylococcus capitis;2;0;100.0;0;88.88888888888889
GCF_029928985.1;Staphylococcus capitis;1;0;100.0;0;0.0
GCF_002591175.1;Staphylococcus capitis;1;0;100.0;0;0.0
GCF_001064095.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_014266465.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_015274025.1;Staphylococcus capitis;2;0;100.0;0;88.88888888888889
GCF_003579085.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_029925625.1;Staphylococcus capitis;1;0;100.0;0;0.0
GCF_003578415.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_020907205.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_026430575.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_001069155.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_012926835.1;Staphylococcus capitis;2;0;100.0;0;100.0
GCF_015273985.1;Staphylococcus capitis;2;0;100.0;0;88.88888888888889
GCF_015243435.1;Staphylococcus capitis;2;0;100.0;0;100.0
